,Crime_Type,Crime_Severity,Police_Response_Time_Minutes,Resolved,Suspect_Arrested,Public_Complaints,Location,Ride_Duration_Minutes,Ride_Fare_INR,Ride_Surge_Pricing_Factor,Driver_Rating,Ride_Cancellation_Status,Weather_Temperature_C,Weather_Visibility_KM,Weather_Humidity_%,Weather_Wind_Speed_KMH,Weather_Condition,Road_Accidents_Reported,Nearby_CCTV_Cameras,Time_of_Day,Num_Police_Stations_Nearby
1398,Burglary,2.0,24,0,1,1,Colaba,32,1193.2928777357097,1.5,4.7,Completed,38.05544585538828,8.15026612244727,60,25,Cloudy,4,8,Morning,0
1399,Theft,9.0,52,1,1,2,Karol Bagh,26,615.128456407288,2.0,2.2,Completed,19.73557417593125,5.852601615214936,56,33,Cloudy,2,0,Afternoon,1
1400,Theft,10.0,7,0,1,4,Connaught Place,103,115.96513437193174,1.0,1.3,Completed,44.50633271038245,9.84937990365294,87,14,Foggy,3,1,Night,1
1401,Fraud,,51,1,0,9,Bandra,102,1247.0606859992376,2.0,3.3,Completed,12.821119774181968,6.132904655574666,88,24,Foggy,3,7,Afternoon,3
1402,Theft,6.0,56,0,1,6,Saket,34,488.83671913620543,1.2,2.9,Cancelled,11.217396147295112,4.257675056808013,83,46,Foggy,4,6,Night,2
1403,Assault,1.0,35,1,1,3,Andheri,51,610.1286518626226,1.2,3.9,Completed,39.45353106653069,9.681214249064912,95,24,Sunny,3,6,Evening,4
1404,Assault,10.0,21,0,0,9,Juhu,40,1462.8351524294912,1.2,3.2,Completed,38.6656618701383,1.199545792872285,70,29,Sunny,3,6,Night,0
1405,Harassment,2.0,1,0,1,0,Juhu,63,72.49347449999934,1.2,2.6,Completed,34.94861062446736,5.389123092072199,78,11,Rainy,1,8,Night,4
1406,Fraud,7.0,44,1,0,6,Dadar,18,1095.9203700609892,1.0,1.0,Completed,39.77709084402245,6.50479835739192,92,9,Sunny,4,7,Morning,1
1407,Harassment,3.0,53,1,1,0,Saket,77,1425.8820556520968,2.0,2.9,Completed,14.814573967957385,3.781467890087499,82,11,Rainy,3,6,Night,3
1408,Assault,2.0,6,1,1,9,Dwarka,90,142.59639441183944,1.2,1.5,Completed,13.349064072541577,1.3741150795220958,63,34,Rainy,2,0,Afternoon,2
1409,Harassment,6.0,39,0,1,6,Dadar,96,1305.8116853294632,2.0,4.7,Completed,43.92909215888253,4.395403208526443,64,32,Rainy,3,3,Morning,0
1410,Fraud,8.0,34,1,1,1,Andheri,109,653.5504556272555,1.0,4.7,Cancelled,31.84832974773909,8.200509028673281,71,21,Cloudy,0,4,Night,2
1411,Fraud,8.0,18,0,1,2,Lajpat Nagar,18,1323.0949479392948,1.5,4.2,Completed,42.19463615175963,5.925986567995133,36,31,Sunny,4,8,Night,2
1412,Theft,2.0,25,1,0,6,Juhu,83,,1.0,1.6,Completed,41.72551284742809,7.699854143390218,54,22,Rainy,2,1,Morning,2
1413,Burglary,6.0,15,1,1,1,Colaba,60,1474.8609447248955,1.2,1.6,Completed,32.859894377932505,7.317911628334705,32,24,Rainy,0,8,Afternoon,4
1414,Theft,5.0,47,1,1,4,Dadar,105,988.221644023528,1.0,3.3,Completed,31.99660795253799,3.2222978867891765,65,6,Foggy,0,2,Afternoon,2
1415,Fraud,7.0,32,0,1,1,Saket,28,959.2810226341676,1.2,3.9,Cancelled,22.59810313907176,2.9084467741102005,55,49,Rainy,1,9,Afternoon,1
1416,Assault,4.0,42,1,1,0,Colaba,102,1218.5599051778972,1.0,4.6,Completed,15.218851958319732,8.014424643241616,23,26,Cloudy,1,2,Evening,1
1417,Assault,2.0,49,1,0,6,Saket,53,683.0498009809482,1.2,4.6,Completed,34.03117334365564,2.1165482565309137,80,22,Sunny,2,4,Afternoon,1
1418,Theft,10.0,50,1,1,7,Lajpat Nagar,47,425.0709665571417,1.5,1.6,Completed,38.625119948123874,5.870549312930129,84,12,Rainy,4,4,Night,3
1419,Fraud,3.0,18,1,1,0,Connaught Place,113,431.24877944267615,1.5,5.0,Cancelled,29.061831251312626,9.586003563766589,62,15,Rainy,2,2,Night,3
1420,Assault,9.0,31,1,1,5,Juhu,112,529.3754386986818,2.0,1.6,Completed,11.780419904037142,5.49203903879123,46,27,Sunny,0,3,Evening,2
1421,Fraud,10.0,29,1,1,9,Dadar,7,945.161320132612,2.0,4.4,Completed,15.072119699281924,8.163663398594867,85,35,Rainy,1,8,Evening,0
1422,Assault,8.0,15,0,1,6,Karol Bagh,27,1265.665109387149,1.0,3.3,Completed,13.568611844532304,2.933310344517902,42,25,Foggy,0,4,Afternoon,3
1423,Fraud,9.0,58,1,0,4,Karol Bagh,24,774.3879237202966,1.5,3.7,Cancelled,33.024107702015115,1.0512230555187003,70,30,Rainy,0,0,Afternoon,4
1424,Harassment,5.0,23,1,1,1,Lajpat Nagar,113,634.9999340086536,1.2,3.4,Completed,29.76761804979038,3.8084296707158334,75,48,Sunny,1,1,Afternoon,1
1425,Fraud,5.0,38,1,1,4,Andheri,19,1201.0792211020294,1.5,4.5,Cancelled,26.327510288028822,5.961761278724491,71,28,Sunny,1,6,Morning,2
1426,Fraud,7.0,41,1,0,7,Bandra,47,470.0184648615541,1.5,3.5,Completed,29.01929945653377,6.579289554623132,73,40,Rainy,4,2,Night,4
1427,Theft,7.0,11,1,1,0,Dwarka,84,1049.1011401063074,1.5,4.4,Completed,19.658419482399022,5.593673793803612,35,40,Cloudy,0,9,Morning,4
1428,Harassment,1.0,15,1,1,5,Karol Bagh,75,203.41757005341796,1.5,1.6,Completed,38.165451003258106,4.612739336001347,86,21,Cloudy,1,9,Morning,0
1429,Burglary,5.0,23,1,1,5,Dadar,37,214.19548606045697,1.2,4.5,Cancelled,21.4990837980377,9.861266049468878,20,46,Sunny,2,0,Night,1
1430,Theft,8.0,3,0,1,9,Karol Bagh,59,983.8804413087952,1.5,5.0,Completed,32.55054178601796,7.04078602958882,45,38,Cloudy,0,6,Evening,1
1431,Burglary,7.0,19,1,1,6,Andheri,87,169.98824569962207,1.5,3.6,Completed,23.68059863211921,9.561221358847796,79,18,Cloudy,4,5,Afternoon,3
1432,Assault,2.0,1,1,0,2,Bandra,86,274.82418772807114,1.0,4.9,Completed,,2.177403486772252,89,31,Cloudy,4,6,Evening,3
1433,Burglary,8.0,24,0,1,1,Karol Bagh,45,955.3351328825252,2.0,1.9,Completed,18.993299854741856,9.995672659998538,63,29,Foggy,0,2,Morning,4
1434,Fraud,,49,1,1,5,Karol Bagh,22,685.3953607969225,2.0,4.3,Completed,43.77844145884139,7.178546269740888,55,12,Cloudy,3,7,Morning,4
1435,Burglary,10.0,11,1,1,3,Bandra,7,863.8798566749442,2.0,1.7,Completed,16.668799215452164,9.733489473567316,28,12,Foggy,0,0,Night,4
1436,Theft,1.0,30,1,1,9,Colaba,7,1466.5672232538986,2.0,3.1,Completed,13.672504274638758,6.2569247119837295,26,41,Foggy,2,7,Evening,1
1437,Theft,3.0,50,1,1,4,Bandra,104,966.3435050013412,1.2,3.7,Completed,20.190326727944424,1.963066377174468,50,24,Cloudy,4,1,Night,4
1438,Burglary,3.0,11,0,1,3,Bandra,20,906.7336661643496,1.0,3.6,Completed,40.72740677876296,3.806733035906092,52,46,Sunny,1,5,Night,1
1439,Theft,6.0,39,1,1,1,Colaba,47,601.200218020475,1.0,3.7,Cancelled,20.71092485142256,1.003484860645089,73,22,Rainy,1,5,Afternoon,3
1440,Theft,3.0,1,1,1,2,Karol Bagh,27,964.7725127491492,1.0,2.3,Completed,24.608304887022463,1.938776344338475,87,37,Cloudy,0,0,Afternoon,0
1441,Burglary,7.0,12,1,1,4,Juhu,91,68.84931226317391,1.5,4.9,Cancelled,20.852692245582865,9.98481676803817,89,6,Cloudy,1,2,Morning,3
1442,Harassment,8.0,4,1,1,2,Colaba,19,858.1143615468064,1.5,1.0,Completed,44.6140746946638,9.20047637676812,94,43,Sunny,0,7,Night,1
1443,Harassment,3.0,25,0,0,1,Juhu,77,149.9011727403512,1.0,3.5,Completed,44.99562846994528,9.06720547227054,96,10,Foggy,3,5,Evening,1
1444,Assault,9.0,8,1,0,8,Karol Bagh,62,369.2497580606615,1.2,4.5,Completed,26.897046363761135,0.5193259879445176,92,11,Cloudy,1,6,Evening,3
1445,Theft,1.0,15,1,1,6,Connaught Place,44,866.525453170504,2.0,4.6,Completed,37.4688998348982,4.78016592195262,70,46,Sunny,2,1,Morning,3
1446,Burglary,,43,1,1,7,Colaba,42,1018.528295338514,1.2,3.9,Completed,17.70209431482377,7.929135191182031,37,7,Foggy,2,4,Morning,1
1447,Theft,3.0,30,1,1,7,Dadar,86,607.9549835810345,1.0,3.3,Completed,23.100330134295746,2.6528139191027305,45,39,Sunny,4,3,Morning,2
1448,Fraud,7.0,40,1,1,8,Dwarka,106,657.5208781846205,2.0,2.8,Completed,33.77688850000584,4.4907238947991,70,45,Cloudy,1,1,Evening,3
1449,Theft,5.0,32,1,1,9,Dwarka,10,772.132488430132,2.0,2.8,Cancelled,20.02149401978165,2.4466831727225595,81,35,Rainy,0,4,Night,4
1450,Theft,4.0,44,1,1,4,Connaught Place,112,1150.658181229619,2.0,2.7,Completed,17.864455999861224,7.080403777909199,24,44,Rainy,3,0,Night,3
1451,Harassment,2.0,35,1,1,2,Connaught Place,105,75.56026880574254,1.2,3.8,Completed,42.27832586984321,7.188275583762671,29,43,Cloudy,2,2,Morning,0
1452,Burglary,7.0,21,1,1,7,Dadar,50,698.248598194792,1.0,3.9,Completed,18.550432656557792,3.185842577537375,66,18,Rainy,4,5,Night,1
1453,Theft,3.0,31,1,0,0,Dwarka,10,70.69671696489839,1.5,3.1,Cancelled,12.074723662930584,5.034279093163818,59,40,Cloudy,0,3,Morning,0
1454,Harassment,7.0,36,0,1,3,Dadar,89,512.7556979175354,2.0,4.0,Completed,36.288080489118606,4.791217250522831,91,24,Rainy,2,9,Morning,0
1455,Assault,10.0,27,1,1,1,Andheri,98,803.7805009041753,2.0,3.1,Completed,18.514390077508047,7.890801607683178,34,22,Foggy,1,3,Afternoon,2
1456,Harassment,7.0,44,1,1,1,Saket,96,165.88296131784813,2.0,1.4,Completed,25.75644515825465,6.914137133929109,38,32,Foggy,4,8,Afternoon,3
1457,Harassment,2.0,8,1,1,0,Dwarka,24,753.5596155657397,2.0,4.4,Completed,13.90449618880713,1.1481029175863742,87,42,Foggy,4,3,Evening,4
1458,Harassment,7.0,59,1,1,9,Dwarka,23,1390.6321602569883,2.0,4.5,Completed,,1.9351148741030595,56,42,Sunny,0,3,Evening,3
1459,Theft,6.0,23,1,1,3,Dwarka,18,1043.7463896709112,1.5,2.1,Completed,26.115598510707613,8.479676996174023,95,38,Sunny,4,2,Morning,1
1460,Theft,10.0,23,0,1,3,Juhu,69,1184.266374221371,2.0,4.1,Cancelled,21.79809197713154,9.672756979179711,50,27,Rainy,2,1,Night,3
1461,Assault,4.0,42,0,0,1,Colaba,95,891.6006164140662,2.0,3.0,Completed,27.707382942620107,6.545630442896093,99,36,Cloudy,0,7,Afternoon,2
1462,Fraud,5.0,58,0,1,1,Juhu,100,1349.7205210684788,1.5,1.5,Completed,43.802413934107065,3.965320088506149,83,19,Cloudy,2,2,Afternoon,4
1463,Fraud,8.0,55,1,1,8,Dwarka,33,,1.2,2.6,Completed,24.258590018678035,2.6002815372662185,74,33,Foggy,2,5,Morning,1
1464,Fraud,5.0,33,0,1,5,Bandra,35,702.1897481467375,1.0,1.3,Completed,31.09299863100015,7.563809134159757,79,42,Cloudy,1,1,Afternoon,1
1465,Assault,3.0,13,0,1,9,Karol Bagh,29,915.698189854601,1.2,4.1,Completed,13.415838380560633,6.564789347188615,69,15,Rainy,4,7,Night,0
1466,Fraud,2.0,39,0,1,9,Juhu,75,1316.539245285645,2.0,1.8,Completed,41.0071161748195,9.134535390983045,41,20,Rainy,1,8,Evening,1
1467,Fraud,6.0,52,0,0,6,Karol Bagh,107,496.61485592006704,1.2,1.7,Completed,,9.079753648033238,63,48,Sunny,3,4,Morning,2
1468,Harassment,6.0,35,1,1,6,Bandra,50,51.635567760357816,1.5,1.8,Completed,28.284245195770342,3.418250957444024,88,42,Foggy,3,8,Night,0
1469,Theft,7.0,16,1,0,5,Juhu,56,1462.900461012539,2.0,1.9,Cancelled,16.418190599682077,8.127732951441907,27,43,Foggy,1,0,Afternoon,3
1470,Theft,8.0,12,1,1,9,Connaught Place,20,87.66709099265398,1.2,3.7,Completed,24.908247178569347,2.9091561435209385,27,48,Cloudy,3,7,Afternoon,4
1471,Harassment,,31,1,0,3,Bandra,112,270.93175449761463,1.0,3.6,Completed,20.40843985680268,7.928923432926804,52,35,Cloudy,3,1,Night,4
1472,Harassment,8.0,5,1,1,5,Andheri,15,661.9671777000132,1.2,1.5,Completed,44.80808643876138,2.09700950078534,49,9,Rainy,1,9,Morning,1
1473,Harassment,1.0,50,1,1,9,Saket,22,769.7362288468975,2.0,3.9,Completed,27.17934009866976,3.803186242468012,29,8,Cloudy,1,7,Afternoon,4
1474,Theft,6.0,40,1,1,9,Saket,112,1259.975638272318,2.0,2.4,Cancelled,,1.316463838405811,59,30,Sunny,1,0,Evening,3
1475,Fraud,6.0,44,1,1,8,Saket,60,699.3360273777126,2.0,2.8,Completed,15.917041063848822,3.3098578999908703,32,14,Cloudy,3,0,Evening,4
1476,Harassment,3.0,25,1,1,8,Connaught Place,110,,1.5,1.5,Completed,18.3688132279334,3.522472347510696,80,31,Sunny,4,8,Night,0
1477,Assault,9.0,21,1,1,7,Karol Bagh,60,339.9998127355737,2.0,3.8,Completed,34.90556999657309,6.852432986425463,62,11,Sunny,2,9,Afternoon,1
1478,Harassment,5.0,3,1,0,3,Bandra,61,875.280113752856,1.2,2.5,Completed,28.721826640115328,7.294922873030993,74,9,Sunny,2,2,Night,2
1479,Burglary,1.0,48,1,1,0,Connaught Place,73,555.1564273289034,1.0,3.5,Completed,22.531095944664653,6.086353840170953,70,39,Foggy,4,0,Morning,4
1480,Harassment,7.0,10,1,1,7,Bandra,70,193.16180784998585,1.2,2.7,Completed,20.39547900571108,7.81578373300527,38,38,Sunny,1,7,Morning,4
1481,Theft,10.0,23,1,1,5,Colaba,78,1422.371192455533,1.0,1.2,Completed,17.025908618527442,4.789940842903424,73,32,Sunny,0,3,Night,1
1482,Harassment,3.0,17,1,0,7,Karol Bagh,94,168.44221389291232,2.0,3.8,Cancelled,11.18642624997266,6.465183079321195,42,39,Rainy,0,0,Morning,0
1483,Burglary,10.0,42,1,1,2,Andheri,92,1032.9244490534156,1.0,3.2,Completed,44.20024890125847,3.912954867718288,81,9,Cloudy,1,8,Evening,1
1484,Assault,10.0,35,1,0,1,Juhu,94,1366.88007174532,1.5,2.7,Completed,36.35886228187204,5.452614813283448,60,19,Rainy,2,1,Night,2
1485,Fraud,4.0,25,0,1,0,Lajpat Nagar,20,309.8467486234135,1.5,1.8,Completed,42.475478528989946,1.8401100346815893,99,37,Cloudy,0,0,Evening,1
1486,Harassment,6.0,2,0,1,1,Andheri,93,393.8206158870812,1.5,3.5,Completed,24.43928032380009,6.304399524247357,31,32,Rainy,4,0,Afternoon,1
1487,Burglary,8.0,27,0,1,2,Dwarka,106,668.7248094564966,1.5,2.1,Completed,40.428396261032034,2.446968576117356,23,32,Rainy,0,1,Night,4
1488,Burglary,4.0,46,1,1,1,Saket,10,477.0394538698408,1.5,2.7,Completed,18.968747266843486,4.878222872652175,31,24,Cloudy,4,8,Night,2
1489,Assault,9.0,9,0,1,5,Karol Bagh,56,,1.0,1.2,Completed,27.84421848676445,6.821788652463094,46,32,Cloudy,0,7,Evening,3
1490,Theft,8.0,59,0,1,2,Bandra,59,540.3223944845266,1.0,4.1,Completed,,4.564462582840603,33,19,Sunny,2,3,Morning,0
1491,Harassment,10.0,49,0,1,2,Bandra,80,1479.461533606972,2.0,1.4,Completed,36.96180078675326,2.619978423988759,35,25,Rainy,1,1,Afternoon,1
1492,Burglary,10.0,4,1,1,0,Colaba,77,1295.241487139456,1.0,4.6,Completed,27.41607024265698,6.828853214637386,31,39,Foggy,0,8,Evening,3
1493,Assault,6.0,26,1,1,9,Bandra,53,1348.2489939872985,1.0,4.5,Cancelled,28.769552843817365,8.599066905221369,72,45,Sunny,0,7,Morning,4
1494,Fraud,7.0,32,0,1,7,Lajpat Nagar,110,142.3132136378356,1.2,4.9,Completed,,5.253795745786066,34,8,Sunny,1,4,Evening,2
1495,Burglary,8.0,29,1,1,4,Andheri,76,305.64726617217195,2.0,4.6,Completed,35.87260961132713,5.797662697036246,20,31,Sunny,4,9,Night,2
1496,Assault,2.0,22,0,1,3,Lajpat Nagar,60,295.5841900323072,1.0,4.9,Cancelled,43.81930848564284,4.213226706578272,47,49,Cloudy,0,9,Morning,4
1497,Theft,5.0,47,0,1,1,Andheri,99,1024.3487398546836,2.0,4.5,Completed,24.18675997139255,6.040372977808375,27,14,Rainy,3,9,Night,4
1498,Theft,7.0,13,1,1,1,Juhu,45,67.27149255399259,1.5,1.5,Cancelled,26.150915286491628,5.205396474785567,95,18,Foggy,4,1,Morning,0
1499,Burglary,8.0,23,1,1,2,Andheri,100,,1.0,2.8,Completed,31.53685400159239,7.592487087875268,79,17,Cloudy,4,9,Night,3
1500,Burglary,5.0,31,1,1,6,Juhu,75,843.2167267167636,1.2,1.3,Completed,25.86593580229652,2.7824876936876035,25,6,Sunny,4,2,Afternoon,1
1501,Harassment,3.0,51,1,1,9,Bandra,100,871.1538958017206,1.2,3.2,Completed,24.686538288390288,5.11908611891768,82,47,Foggy,3,7,Afternoon,4
1502,Assault,6.0,41,1,1,7,Lajpat Nagar,110,829.1378122494671,1.5,3.1,Completed,21.920010967548272,3.504165671484025,28,45,Foggy,3,7,Morning,2
1503,Burglary,5.0,36,1,1,8,Juhu,60,826.2515400987447,1.2,4.7,Completed,39.11594767644824,1.397021601869548,71,45,Foggy,2,6,Morning,4
1504,Harassment,8.0,53,1,0,0,Andheri,93,336.93480821864785,1.2,4.9,Completed,28.67212772749446,4.171770383989189,73,49,Rainy,2,8,Evening,4
1505,Harassment,9.0,40,1,1,0,Dadar,101,460.6105966375957,1.5,2.0,Cancelled,31.25910952121486,9.555027785920313,98,33,Foggy,2,6,Evening,2
1506,Burglary,,31,0,1,5,Juhu,119,757.0453138585394,1.0,3.3,Cancelled,17.142643687114084,4.874642132402396,73,5,Foggy,1,9,Afternoon,2
1507,Theft,6.0,15,1,1,7,Karol Bagh,67,1032.874521407547,1.2,2.9,Completed,18.81217681439029,5.68341516758976,55,21,Rainy,3,2,Evening,2
1508,Assault,4.0,14,1,1,4,Juhu,32,444.3329520267304,1.2,3.2,Completed,,7.551254797789423,45,48,Rainy,1,0,Afternoon,4
1509,Assault,4.0,35,1,1,3,Dwarka,79,1218.8956412463851,1.0,3.1,Cancelled,26.28791417078576,9.855577021376597,60,32,Sunny,1,2,Night,1
1510,Theft,9.0,24,0,1,8,Bandra,35,1225.3600932824922,1.5,4.7,Completed,11.537455626383926,4.411862344451194,30,23,Foggy,3,1,Night,2
1511,Burglary,4.0,30,1,0,1,Connaught Place,59,447.1251403762227,1.2,4.6,Completed,41.09369765555857,5.417916679013339,82,37,Sunny,3,5,Night,0
1512,Assault,8.0,30,0,1,2,Saket,56,862.0937868034493,1.2,1.5,Completed,41.62992890585623,9.700868815525643,46,8,Sunny,2,4,Night,0
1513,Burglary,9.0,27,1,0,1,Saket,78,555.9381390743907,1.5,2.4,Completed,33.1587972018321,4.573446996582707,58,30,Foggy,0,9,Night,1
1514,Burglary,5.0,49,1,1,6,Dwarka,70,326.4943163841815,1.2,4.0,Completed,21.061849195457263,8.008148299063487,40,28,Rainy,1,8,Afternoon,1
1515,Harassment,6.0,40,1,1,6,Saket,50,1218.69993590398,1.0,3.7,Completed,23.486140663179096,4.716423043069671,25,11,Cloudy,3,7,Afternoon,4
1516,Theft,3.0,14,0,1,9,Andheri,112,1487.6477665444745,1.2,3.5,Completed,35.69178496048801,2.662581911457703,30,47,Cloudy,3,4,Evening,0
1517,Burglary,5.0,45,1,0,3,Saket,8,870.2928083789194,1.2,5.0,Completed,20.02018519180957,9.395125198197247,65,30,Sunny,2,1,Night,1
1518,Fraud,5.0,47,0,0,8,Dadar,26,1375.222722046555,1.2,2.3,Completed,31.31213079145623,7.264513058158751,50,20,Rainy,2,9,Afternoon,3
1519,Theft,2.0,11,1,1,6,Karol Bagh,49,981.1447709399628,1.0,3.1,Completed,41.719487734897385,8.703603168838455,75,18,Sunny,1,5,Afternoon,0
1520,Assault,10.0,59,1,1,2,Karol Bagh,32,870.2993672890519,1.0,4.9,Completed,24.3656741220224,1.602821335168657,94,41,Foggy,0,9,Night,4
1521,Harassment,6.0,47,1,1,3,Andheri,14,746.2100760687863,2.0,3.8,Completed,30.54670673869986,7.196592376950882,70,16,Sunny,0,4,Night,1
1522,Assault,9.0,44,1,1,0,Dwarka,70,391.7867017053409,1.2,3.6,Completed,42.50064254740792,6.583840960870159,27,49,Cloudy,4,3,Night,4
1523,Assault,7.0,26,1,1,9,Karol Bagh,53,172.17014335953098,1.0,1.6,Completed,21.920354806813904,5.097735768883323,62,15,Cloudy,4,7,Evening,3
1524,Theft,8.0,56,1,1,7,Dwarka,99,691.3870811244224,1.2,2.0,Completed,36.58739109295677,1.849912601968847,53,5,Cloudy,2,7,Evening,2
1525,Assault,2.0,54,0,1,0,Dwarka,110,863.8993746458431,1.5,2.5,Completed,36.42926495635383,4.440409371390496,66,39,Cloudy,1,7,Afternoon,3
1526,Burglary,9.0,21,1,1,2,Dadar,91,788.701998622515,1.5,2.9,Completed,42.49733178318888,6.368024263451496,35,36,Sunny,4,4,Afternoon,0
1527,Assault,3.0,9,0,1,9,Karol Bagh,84,1058.5774213430682,1.2,3.0,Completed,40.05062617141021,6.935987937593064,54,37,Sunny,1,5,Morning,2
1528,Harassment,10.0,54,1,0,9,Karol Bagh,77,328.54323617293375,1.5,4.6,Cancelled,36.20898642547597,1.611320223905616,29,9,Cloudy,0,2,Evening,0
1529,Harassment,5.0,47,0,1,7,Dadar,55,563.5943194240892,1.0,1.4,Completed,32.27803998364904,4.716337446858075,74,37,Rainy,2,5,Morning,1
1530,Fraud,7.0,1,1,1,6,Dadar,47,652.5725433708863,1.2,2.0,Completed,18.44159018493552,4.542425605984471,67,6,Cloudy,1,2,Morning,1
1531,Harassment,4.0,44,1,1,6,Connaught Place,10,320.4587930885524,1.2,1.6,Completed,33.47270354337857,7.96932273464498,23,37,Cloudy,0,7,Night,4
1532,Assault,7.0,6,1,0,7,Dwarka,29,1364.3731098245846,1.2,3.9,Cancelled,19.675521315314235,0.8914825299502486,38,28,Foggy,0,8,Evening,0
1533,Harassment,8.0,1,1,1,7,Colaba,8,1038.19161324873,2.0,4.9,Completed,25.400686187466626,7.962149387202798,79,44,Rainy,1,4,Night,2
1534,Theft,10.0,22,1,1,2,Connaught Place,116,183.20040219643343,2.0,4.6,Completed,34.83945228920311,7.943475519637245,61,17,Foggy,1,8,Morning,2
1535,Harassment,10.0,51,1,0,0,Juhu,80,1083.5571578074243,2.0,3.9,Completed,33.62129866799346,7.122388357775528,33,37,Cloudy,4,7,Evening,2
1536,Burglary,4.0,54,0,1,5,Saket,28,,1.2,1.1,Completed,,9.047658676966504,52,11,Foggy,4,7,Morning,1
1537,Theft,5.0,13,1,1,4,Andheri,60,809.7136768500711,1.2,2.4,Cancelled,16.39364900916198,4.919102637526116,67,39,Sunny,3,1,Evening,3
1538,Fraud,3.0,38,1,0,5,Dadar,95,1485.189373905847,2.0,4.5,Completed,26.944985893048816,1.41285909115711,73,23,Rainy,0,7,Night,1
1539,Burglary,5.0,49,1,1,2,Dadar,116,946.3911907045892,1.5,3.6,Completed,19.449052216528894,3.649252655454374,71,38,Cloudy,3,4,Morning,2
1540,Assault,,45,0,0,1,Connaught Place,59,1350.255879844655,1.0,1.8,Completed,18.94020675426665,6.3068690939287215,56,38,Cloudy,4,5,Evening,4
1541,Assault,3.0,41,0,0,2,Karol Bagh,58,1374.6459631538798,1.5,2.9,Completed,21.437775490629768,3.5675093720772697,27,30,Rainy,0,8,Afternoon,2
1542,Assault,5.0,40,1,0,0,Saket,7,197.0570160242328,2.0,1.4,Completed,34.71832154699687,6.513001919461496,93,10,Foggy,1,1,Morning,2
1543,Burglary,10.0,31,1,1,9,Dwarka,80,62.125271750376335,1.0,3.1,Completed,27.40500411887442,0.9144198806961892,50,30,Sunny,0,9,Evening,3
1544,Burglary,1.0,15,1,0,3,Colaba,51,681.1370186281547,2.0,4.6,Completed,23.06098418884502,1.168249222684037,54,39,Sunny,1,0,Afternoon,4
1545,Burglary,2.0,50,1,0,3,Bandra,34,1165.4632225094829,1.0,1.2,Completed,,0.599901216688522,74,27,Foggy,2,1,Evening,4
1546,Theft,3.0,2,1,1,4,Bandra,80,1245.0841352292712,1.0,3.5,Completed,,9.771609121064904,44,31,Sunny,1,1,Evening,3
1547,Theft,1.0,53,1,1,0,Connaught Place,45,1191.866367619157,1.0,1.9,Completed,27.31284895659468,2.985603286862031,22,14,Rainy,0,7,Night,0
1548,Assault,9.0,31,0,1,7,Karol Bagh,110,698.5675398455891,2.0,5.0,Cancelled,24.745092699022408,8.057756478302638,34,40,Sunny,4,6,Night,3
1549,Harassment,9.0,26,0,0,2,Karol Bagh,59,1137.44797187796,2.0,1.3,Completed,38.66138909261738,8.925021674399837,40,34,Foggy,1,1,Morning,2
1550,Assault,5.0,2,0,1,5,Juhu,63,1092.2259605629606,1.0,3.5,Completed,16.052357287461454,1.9972885464850432,77,38,Foggy,3,1,Night,1
1551,Fraud,4.0,11,1,1,9,Karol Bagh,44,505.0379138989653,1.2,2.0,Completed,33.245387390300365,2.391656436160108,58,43,Cloudy,2,8,Afternoon,2
1552,Theft,5.0,33,1,0,3,Karol Bagh,49,294.6448123463743,1.2,4.5,Completed,10.735535461432423,4.132414522521019,46,37,Rainy,2,1,Afternoon,4
1553,Burglary,4.0,18,1,1,3,Andheri,26,951.0571399718935,1.2,1.5,Completed,10.243624957208212,5.288602101151733,33,13,Sunny,1,8,Afternoon,3
1554,Theft,5.0,21,1,1,0,Juhu,19,1031.7752686640229,1.2,2.7,Completed,42.61242926053495,5.580051837212963,55,5,Cloudy,3,5,Afternoon,4
1555,Burglary,7.0,59,1,1,4,Karol Bagh,96,873.5575017584665,1.5,1.7,Completed,27.989600238441,4.163996572340416,65,37,Cloudy,3,0,Night,4
1556,Fraud,8.0,31,1,1,7,Bandra,21,359.1103424120173,1.5,4.2,Completed,21.02910989472713,6.069165905977827,29,11,Cloudy,0,9,Night,2
1557,Fraud,2.0,26,1,1,7,Dwarka,63,451.17631451541087,1.2,2.4,Completed,,7.492808181281621,43,13,Foggy,2,5,Evening,4
1558,Theft,4.0,30,1,1,2,Juhu,112,1077.3050936160423,2.0,1.7,Completed,44.468980209152384,7.151164357207136,29,20,Rainy,1,0,Afternoon,0
1559,Burglary,,39,1,1,2,Andheri,116,1445.8024278539676,1.2,3.9,Completed,11.204482699683696,0.7869762231777329,77,34,Rainy,3,5,Evening,2
1560,Fraud,7.0,21,1,1,9,Colaba,29,1420.0116222560323,1.0,4.3,Completed,11.328624298628508,6.136316032432507,47,22,Foggy,1,0,Afternoon,1
1561,Assault,9.0,49,1,1,0,Karol Bagh,47,803.5043123050746,1.0,2.8,Completed,39.917371832730566,7.269939423566289,87,28,Rainy,0,5,Night,2
1562,Assault,5.0,16,1,1,9,Saket,68,1335.511238409929,2.0,2.5,Completed,29.48501799175788,2.4063911041198605,67,18,Cloudy,1,9,Afternoon,4
1563,Burglary,,7,1,0,8,Dwarka,55,92.70424044273317,1.0,3.5,Completed,40.895960960972864,6.234387892606255,38,33,Rainy,1,2,Morning,1
